Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Month,6 Months,1 Year,2 Years
Rena oil spill,"New Zealand, Tauranga, Bay of Plenty",2011-10-05 - 2012-08-30,350,350,Costamare Inc.,CMRE,,5.746780872344972,7.4982171058654785,7.4982171058654785,7.4982171058654785,7.4982171058654785,7.4982171058654785
"Gannet Alpha platform, North Sea","United Kingdom, North Sea, Gannet Alpha platform",2011-08-10 - 2011-08-13,216,216,Royal Dutch Shell PLC Royal Dut,RDS-A,,37.691856384277344,42.12250900268555,42.12250900268555,42.12250900268555,42.12250900268555,42.12250900268555
Yellowstone River,"United States, Billings, Montana, Yellowstone River",2011-07-01 - 2011-07-01,105,140,Exxon Mobil Corporation,XOM,,58.00261688232422,58.15942001342773,56.73393249511719,56.73393249511719,62.35530853271485,67.71614074707031
Bohai Bay oil spill,"China, Bohai Bay",2011-06-04 - 2011-06-19,204,204,ConocoPhillips,COP,,39.75732421875,38.94999313354492,41.65760040283203,41.65760040283203,38.8146858215332,38.8146858215332
Little Buffalo oil spill,"Canada, Alberta",2011-04-29 - 2011-04-29,"3,800","3,800","Plains All American Pipeline, L",PAA,,17.054571151733402,16.84849739074707,16.444255828857422,16.444255828857422,22.625673294067386,32.95271682739258
Mumbai-Uran pipeline spill,"India, Mumbai, Arabian Sea",2011-01-21 - 2011-01-21,40,55,OIL & NATURAL GAS,ONGC.NS,,120.26463317871094,120.68316650390624,117.07301330566406,117.07301330566406,121.60807800292969,155.957275390625
Trans-Alaska Pipeline,"United States, Anchorage, Alaska",2010-05-25 - 2010-05-25,400,"1,200",TC Energy Corporation,TRP,,18.324756622314453,18.16664123535156,19.88334846496582,20.43086051940918,20.43086051940918,20.43086051940918
ExxonMobil,"Nigeria, Niger Delta",2010-05-01 - 2010-05-01,"3,246","95,500",Exxon Mobil Corporation,XOM,,46.82379150390625,46.87217712402344,41.21515274047852,41.21515274047852,61.637245178222656,61.637245178222656
Deepwater Horizon,"United States, Gulf of Mexico",2010-04-20 - 2010-07-15,"492,000","627,000",BP p.l.c.,BP,,33.940185546875,26.43998146057129,26.43998146057129,23.67482566833496,23.67482566833496,23.67482566833496
Great Barrier Reef / MVÂ Shen Neng 1,Australia Great Keppel Island,2010-04-03 - 2010-04-03,3,4,SHN ENERGY GROUP,000027.SZ,,5.631030082702638,5.5805625915527335,5.01704216003418,5.01704216003418,4.452830791473389,3.2962241172790527
