Spill / Vessel,Location,Dates,Min Tonnes,Max Tonnes,Owner,Trading Name,Notes,Day Prior,Day After,1 Day Change,1 Day % Change,1 Day Result,1 Month,1 Month Change,1 Month % Change,1 Month Result,6 Months,6 Months Change,6 Months % Change,6 Months Result,1 Year,1 Year Change,1 Year % Change,1 Year Result,2 Years,2 Years Change,2 Years % Change,2 Years Result
MV Miss Susan/MV Summer Wind,"United States, Texas, Houston Ship Channel",2014-03-22 - 2014-03-22,546,546,Kirby Corporation,KEX,,105.1900024,102.7099991,-2.4800033,-2.357641642,L,102.0599976,-0.6500015,-0.632851237,L,121.6699982,19.6100006,19.21418877,W,74.79000092,-46.87999728,-38.53044955,L,61.40000153,-13.38999939,-17.90346199,L
Rayong oil spill,"Thailand, Rayong/Ko Samet, Gulf of Thailand",2013-07-27 - 2013-07-27,43,163,PTT GLOBAL CHEMICAL PUBLIC COMP,PTTGC.BK,,53.37733459,52.83634949,-0.5409851,-1.013510892,L,48.50844574,-4.32790375,-8.191148313,L,54.71012497,6.20167923,12.78474116,W,50.73904419,-3.97108078,-7.258401954,L,47.61209488,-3.12694931,-6.162806888,L
Cushing storage terminal,"United States, Oklahoma, Cushing",2013-05-18 - 2013-05-18,340,340,Enbridge Energy Partners,EEP,,18.13625908,18.04001427,-0.09624481,-0.530676197,L,18.3828907,0.34287643,1.900643896,L,18.58012009,0.19722939,1.072896495,L,19.42311096,0.84299087,4.537058242,L,26.07911491,6.65600395,34.26847514,W
Mayflower,"United States, Arkansas, Mayflower",2013-03-30 - 2013-03-30,680,950,Exxon Mobil Corporation,XOM,,67.10940552,67.60093689,0.49153137,0.732432907,L,66.27529144,-1.32564545,-1.960986801,L,65.61687469,-0.65841675,-0.993457344,L,74.78450012,9.16762543,13.9714448,W,66.95135498,-7.83314514,-10.47428963,L
Magnolia refinery,"United States, Arkansas, Magnolia",2013-03-09 - 2013-03-09,680,760,"Delek Logistics Partners, L.P.",DKL,,15.52378082,15.63576603,0.11198521,0.721378453,L,15.37979031,-0.25597572,-1.637116592,L,16.42246819,1.04267788,6.779532484,W,18.97685814,2.55438995,15.55423899,W,25.44574356,6.46888542,34.08828465,W
Arthur Kill storage tank diesel spill (Hurricane Sandy),"United States, New Jersey, Sewaren",2012-10-29 - 2012-10-29,"1,090","1,130",Exxon Mobil Corporation,XOM,,66.64352417,67.04802704,0.40450287,0.606965005,L,65.21073914,-1.8372879,-2.740256472,L,65.69441223,0.48367309,0.741707725,L,67.05909729,1.36468506,2.077322886,L,73.30968475,6.25058746,9.321013423,W
"Sundre, Alberta","Canada, Sundre",2012-06-08 - 2012-06-08,410,410,"Plains All American Pipeline, L",PAA,Plains Mainstream Canada indirect subsidiary of PAA,21.95154953,21.80051041,-0.15103912,-0.688056758,L,23.17108154,1.37057113,6.286876336,W,25.78551865,2.61443711,11.2831898,W,32.83543396,7.04991531,27.34059922,W,35.10286713,2.26743317,6.905446027,W
Nigeria,"Nigeria, Bonga Field",2011-12-21 - 2011-12-21,"5,500","5,500",Royal Dutch Shell PLC Royal Dut,RDS-A,,42.68212891,43.63102341,0.9488945,2.223165817,L,42.98051453,-0.65050888,-1.490931977,L,41.31552124,-1.66499329,-3.873832848,L,43.43585968,2.12033844,5.132062664,W,46.35546875,2.91960907,6.721656004,W
Campos Basin,"Brazil, Campos Basin, Frade Field",2011-11-07 - 2011-11-15,89,400,Chevron Corporation,CVX,,74.73726654,73.22747803,-1.50978851,-2.020128083,L,72.36961365,-0.85786438,-1.171506111,L,73.68025208,1.31063843,1.811034167,L,77.98516846,4.30491638,5.842700396,W,89.86207581,11.87690735,15.22970019,W
Rena oil spill,"New Zealand, Tauranga, Bay of Plenty",2011-10-05 - 2012-08-04,350,350,Costamare Inc.,CMRE,,5.746780872,5.822067261,0.075286389,1.31006194,L,6.51793766,0.695870399,11.95229062,W,7.269325733,0.751388073,11.52800337,W,8.472491264,1.203165531,16.55126727,W,10.13111115,1.658619886,19.57653109,W
