Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-06-07,51.5,51.5,51.5,51.5,0,0,0
2000-06-08,51.5,51.5,51.5,51.5,0,0,0
2000-06-09,52.0,52.0,52.0,52.0,80,0,0
2000-06-12,51.0,51.0,51.0,51.0,0,0,0
2000-06-13,48.0,48.0,48.0,48.0,0,0,0
2000-06-14,49.900001525878906,50.400001525878906,49.900001525878906,50.400001525878906,300,0,0
2000-06-15,46.0,47.099998474121094,46.0,47.099998474121094,500,0,0
2000-06-16,50.599998474121094,51.099998474121094,50.599998474121094,51.099998474121094,75,0,0
2000-06-19,51.099998474121094,51.099998474121094,51.099998474121094,51.099998474121094,0,0,0
2000-06-20,51.0,51.0,51.0,51.0,50,0,0
2000-06-21,55.0,55.0,55.0,55.0,0,0,0
2000-06-22,55.0,55.5,55.0,55.5,100,0,0
2000-06-23,52.5,52.5,51.0,51.0,100,0,0
2000-06-26,50.25,50.79999923706055,50.25,50.79999923706055,50,0,0
2000-06-27,56.400001525878906,56.79999923706055,54.0,54.0,200,0,0
2000-06-28,53.0,53.0,53.0,53.0,0,0,0
2000-06-29,56.0,56.0,56.0,56.0,0,0,0
2000-06-30,56.0,56.0,56.0,56.0,200,0,0
2000-07-03,59.0,59.0,59.0,59.0,0,0,0
2000-07-05,58.79999923706055,58.79999923706055,58.79999923706055,58.79999923706055,0,0,0
2000-07-06,60.0,60.0,60.0,60.0,0,0,0
2000-07-07,60.0,60.0,60.0,60.0,0,0,0
2000-07-10,55.70000076293945,55.70000076293945,55.70000076293945,55.70000076293945,0,0,0
2000-07-11,52.79999923706055,52.79999923706055,52.79999923706055,52.79999923706055,0,0,0
2000-07-12,52.79999923706055,52.79999923706055,52.79999923706055,52.79999923706055,0,0,0
2000-07-13,52.5,52.5,52.5,52.5,0,0,0
2000-07-14,53.20000076293945,54.0,53.20000076293945,54.0,50,0,0
2000-07-17,53.900001525878906,53.900001525878906,53.900001525878906,53.900001525878906,0,0,0
2000-07-18,52.400001525878906,53.0,52.400001525878906,53.0,100,0,0
2000-07-19,53.099998474121094,53.099998474121094,53.099998474121094,53.099998474121094,0,0,0
2000-07-20,51.20000076293945,51.20000076293945,51.20000076293945,51.20000076293945,60,0,0
2000-07-21,58.0,58.79999923706055,58.0,58.79999923706055,73,0,0
2000-07-24,58.79999923706055,58.79999923706055,58.79999923706055,58.79999923706055,0,0,0
2000-07-25,59.5,59.5,59.5,59.5,0,0,0
2000-07-26,64.0,64.0,64.0,64.0,60,0,0
2000-07-27,64.0,64.0,64.0,64.0,0,0,0
2000-07-28,67.30000305175781,67.30000305175781,67.30000305175781,67.30000305175781,90,0,0
2000-07-31,70.0,70.0,70.0,70.0,26,0,0
2000-08-01,67.0,67.0,66.5,66.5,200,0,0
2000-08-02,66.0,66.0,66.0,66.0,0,0,0
2000-08-03,67.0,67.0,65.5,65.5,18,0,0
2000-08-04,60.70000076293945,60.70000076293945,60.70000076293945,60.70000076293945,0,0,0
2000-08-07,59.04999923706055,59.5,59.0,59.5,60,0,0
2000-08-08,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,0,0,0
2000-08-09,59.20000076293945,59.20000076293945,59.20000076293945,59.20000076293945,0,0,0
2000-08-10,59.0,59.0,59.0,59.0,0,0,0
2000-08-11,58.0,58.0,58.0,58.0,0,0,0
2000-08-14,59.099998474121094,59.099998474121094,59.099998474121094,59.099998474121094,0,0,0
2000-08-15,59.0,59.0,59.0,59.0,0,0,0
2000-08-16,58.5,59.29999923706055,58.5,59.29999923706055,32,0,0
2000-08-17,59.79999923706055,60.5,54.0,54.0,200,0,0
2000-08-18,50.5,55.0,50.5,54.5,200,0,0
2000-08-21,54.5,54.5,54.5,54.5,100,0,0
2000-08-22,54.20000076293945,55.0,54.20000076293945,55.0,40,0,0
2000-08-23,55.0,55.0,55.0,55.0,0,0,0
2000-08-24,56.0,56.0,56.0,56.0,0,0,0
2000-08-25,58.0,58.0,58.0,58.0,0,0,0
2000-08-28,58.599998474121094,58.599998474121094,58.599998474121094,58.599998474121094,0,0,0
2000-08-29,60.5,60.5,60.5,60.5,0,0,0
2000-08-30,58.79999923706055,58.79999923706055,58.79999923706055,58.79999923706055,0,0,0
2000-08-31,60.79999923706055,60.79999923706055,60.79999923706055,60.79999923706055,0,0,0
2000-09-01,62.5,62.5,62.5,62.5,0,0,0
2000-09-05,64.80000305175781,64.80000305175781,64.80000305175781,64.80000305175781,0,0,0
2000-09-06,64.80000305175781,64.80000305175781,64.80000305175781,64.80000305175781,0,0,0
2000-09-07,65.0,65.0,65.0,65.0,0,0,0
2000-09-08,64.0,64.0,64.0,64.0,0,0,0
